giwin,lose,probability
Cleveland Cavaliers,New York Knicks,0.62152987322317832
Golden State Warriors,San Antonio Spurs,0.53143244041057647
Portland Trail Blazers,Utah Jazz,0.59209069018576965
Boston Celtics,Brooklyn Nets,0.50170624434385425
Indiana Pacers,Dallas Mavericks,0.51197978162625601
Los Angeles Lakers,Houston Rockets,0.50254097556155686
Memphis Grizzlies,Minnesota Timberwolves,0.53481331042940305
Charlotte Hornets,Milwaukee Bucks,0.5650920276856094
Denver Nuggets,New Orleans Pelicans,0.52823701556115066
Orlando Magic,Miami Heat,0.52475467441509527
Philadelphia 76ers,Oklahoma City Thunder,0.5332028321774307
Phoenix Suns,Sacramento Kings,0.51436489253779416
Toronto Raptors,Detroit Pistons,0.52311232592473
Atlanta Hawks,Washington Wizards,0.55610105752424122
Boston Celtics,Chicago Bulls,0.5667163097077732
Portland Trail Blazers,Los Angeles Clippers,0.55613082743559916
San Antonio Spurs,Sacramento Kings,0.56343193435950911
Indiana Pacers,Brooklyn Nets,0.57337409864637467
Dallas Mavericks,Houston Rockets,0.54903452003458764
Detroit Pistons,Orlando Magic,0.5146570210379513
Charlotte Hornets,Miami Heat,0.52559580174648524
Golden State Warriors,New Orleans Pelicans,0.57843494526759187
Phoenix Suns,Oklahoma City Thunder,0.53493347793747059
Toronto Raptors,Cleveland Cavaliers,0.58143544655942569
Utah Jazz,Los Angeles Lakers,0.57562403819984553
Indiana Pacers,Chicago Bulls,0.53893871055642706
Charlotte Hornets,Boston Celtics,0.5598706648889421
Cleveland Cavaliers,Orlando Magic,0.62092037253713972
Denver Nuggets,Portland Trail Blazers,0.65140501275503215
Brooklyn Nets,Milwaukee Bucks,0.53540568173140446
Memphis Grizzlies,New York Knicks,0.53470870597445952
Atlanta Hawks,Philadelphia 76ers,0.51699268551149324
Minnesota Timberwolves,Sacramento Kings,0.50954809686233316
New Orleans Pelicans,San Antonio Spurs,0.54409824054805278
Detroit Pistons,Milwaukee Bucks,0.54179752795845793
Houston Rockets,Dallas Mavericks,0.55465191683227122
Los Angeles Clippers,Utah Jazz,0.56305097855082831
Washington Wizards,Memphis Grizzlies,0.51256116403558249
San Antonio Spurs,Miami Heat,0.50421678487046517
Oklahoma City Thunder,Los Angeles Lakers,0.50484957405994146
Golden State Warriors,Phoenix Suns,0.56116007185460803
Atlanta Hawks,Sacramento Kings,0.55496247755555062
Chicago Bulls,Brooklyn Nets,0.55517382082959799
Los Angeles Clippers,Phoenix Suns,0.5449669485241897
Toronto Raptors,Denver Nuggets,0.52849913459920861
Cleveland Cavaliers,Houston Rockets,0.6062095806456278
Detroit Pistons,New York Knicks,0.51530400574632607
Indiana Pacers,Los Angeles Lakers,0.54963746894599186
Miami Heat,Sacramento Kings,0.5014230734520807
Memphis Grizzlies,Minnesota Timberwolves,0.53436357036865523
New Orleans Pelicans,Milwaukee Bucks,0.52059000738572758
Philadelphia 76ers,Orlando Magic,0.51836662953362533
Portland Trail Blazers,Golden State Warriors,0.50985753734714878
Utah Jazz,San Antonio Spurs,0.51972657858755189
Atlanta Hawks,Los Angeles Lakers,0.58339769052998613
Boston Celtics,Chicago Bulls,0.51896816154139491
Detroit Pistons,Brooklyn Nets,0.60448278670983124
Charlotte Hornets,Philadelphia 76ers,0.54028754767998788
Los Angeles Clippers,Oklahoma City Thunder,0.56702016888712525
New Orleans Pelicans,Memphis Grizzlies,0.53069604618109367
Houston Rockets,New York Knicks,0.54479023374736224
Phoenix Suns,Portland Trail Blazers,0.66162581210258997
Utah Jazz,Dallas Mavericks,0.53831405302498281
Washington Wizards,Toronto Raptors,0.53286288777540558
Cleveland Cavaliers,Boston Celtics,0.59903974181072361
Golden State Warriors,Oklahoma City Thunder,0.54845706556812523
Indiana Pacers,Milwaukee Bucks,0.53663654231376223
Denver Nuggets,Minnesota Timberwolves,0.55051318338967647
Sacramento Kings,Orlando Magic,0.52314138798278864
Charlotte Hornets,Brooklyn Nets,0.60124989404734364
New York Knicks,Chicago Bulls,0.54336203500716884
Dallas Mavericks,Portland Trail Blazers,0.70794352882839751
Golden State Warriors,Los Angeles Lakers,0.55418850150440069
Los Angeles Clippers,Memphis Grizzlies,0.54293769454608243
Phoenix Suns,New Orleans Pelicans,0.51408897963668521
Toronto Raptors,Miami Heat,0.60010795440829179
Utah Jazz,San Antonio Spurs,0.54147448351606053
Atlanta Hawks,Washington Wizards,0.51935297173548145
Atlanta Hawks,Houston Rockets,0.53622832500578388
Denver Nuggets,Detroit Pistons,0.50697299752041192
Indiana Pacers,Chicago Bulls,0.54093911550630513
Sacramento Kings,Milwaukee Bucks,0.53834681344770652
Oklahoma City Thunder,Minnesota Timberwolves,0.52441784575676953
Washington Wizards,Orlando Magic,0.52199093625521942
Philadelphia 76ers,Cleveland Cavaliers,0.55020759534630936
Los Angeles Clippers,San Antonio Spurs,0.5562825923788236
Denver Nuggets,Boston Celtics,0.52624265207888754
Dallas Mavericks,Milwaukee Bucks,0.59091675227528584
Los Angeles Lakers,Phoenix Suns,0.51059153229036047
Memphis Grizzlies,Portland Trail Blazers,0.63603733958002306
Utah Jazz,New York Knicks,0.51855034778393971
Toronto Raptors,Sacramento Kings,0.5533421066702594
Orlando Magic,Chicago Bulls,0.54400465817799115
Charlotte Hornets,Indiana Pacers,0.5873527484306228
Golden State Warriors,New Orleans Pelicans,0.52008500427102844
Los Angeles Clippers,Detroit Pistons,0.52549102229555023
Oklahoma City Thunder,Miami Heat,0.52376588675843394
Philadelphia 76ers,Utah Jazz,0.52918104547892164
Washington Wizards,Houston Rockets,0.50049907535173355
Minnesota Timberwolves,Brooklyn Nets,0.52701498518509604
Cleveland Cavaliers,Atlanta Hawks,0.58709280503568717
Los Angeles Lakers,Dallas Mavericks,0.51261122123771274
Denver Nuggets,Memphis Grizzlies,0.53865513218224947
Portland Trail Blazers,Phoenix Suns,0.57429984417919056
New Orleans Pelicans,Sacramento Kings,0.57459279029088361
Atlanta Hawks,Chicago Bulls,0.57484701617224765
Charlotte Hornets,Utah Jazz,0.5929044919244304
Golden State Warriors,Dallas Mavericks,0.52826309548729655
Philadelphia 76ers,Indiana Pacers,0.5253386433108278
Los Angeles Clippers,Portland Trail Blazers,0.69778940615579566
Brooklyn Nets,New York Knicks,0.52304350938337618
Toronto Raptors,Oklahoma City Thunder,0.51062974745480583
Orlando Magic,Minnesota Timberwolves,0.52540650633057828
Detroit Pistons,Phoenix Suns,0.5160427075075813
Houston Rockets,San Antonio Spurs,0.54595848952880166
Boston Celtics,Washington Wizards,0.50698579600435945
Golden State Warriors,Denver Nuggets,0.57228950909015164
Miami Heat,Chicago Bulls,0.5216377984347671
New Orleans Pelicans,Milwaukee Bucks,0.55521426147777042
Los Angeles Lakers,Sacramento Kings,0.52910388039428802
New York Knicks,Boston Celtics,0.5039844673228151
Charlotte Hornets,Toronto Raptors,0.59874135838135079
Los Angeles Clippers,Oklahoma City Thunder,0.5532731871228318
Utah Jazz,Orlando Magic,0.51569457031554067
Philadelphia 76ers,Indiana Pacers,0.52345874739961495
Portland Trail Blazers,Sacramento Kings,0.58486617589325585
Detroit Pistons,San Antonio Spurs,0.55735847354786094
Washington Wizards,Cleveland Cavaliers,0.54786691985635616
Atlanta Hawks,Philadelphia 76ers,0.50902140155623699
Washington Wizards,Chicago Bulls,0.5395023636895655
Detroit Pistons,Denver Nuggets,0.5273526249588818
Houston Rockets,San Antonio Spurs,0.5577923803792485
Boston Celtics,Indiana Pacers,0.50557591929863877
Miami Heat,Utah Jazz,0.50888034844035979
Memphis Grizzlies,Milwaukee Bucks,0.54703037166128987
Los Angeles Clippers,Minnesota Timberwolves,0.55477665270977994
New Orleans Pelicans,Los Angeles Lakers,0.52572476777449983
Phoenix Suns,Brooklyn Nets,0.51731914126139433
Toronto Raptors,New York Knicks,0.55063809215002668
Cleveland Cavaliers,Charlotte Hornets,0.59840316934372051
Golden State Warriors,Phoenix Suns,0.52624832336675142
Minnesota Timberwolves,Los Angeles Lakers,0.50332845021671124
Orlando Magic,Oklahoma City Thunder,0.527502410022756
Portland Trail Blazers,Denver Nuggets,0.56038356300555592
Detroit Pistons,Oklahoma City Thunder,0.52950377639991031
Houston Rockets,Philadelphia 76ers,0.51752151802333834
Indiana Pacers,Orlando Magic,0.51741453777099666
Los Angeles Clippers,Brooklyn Nets,0.55861665886767353
Boston Celtics,New Orleans Pelicans,0.52959551965959606
Dallas Mavericks,New York Knicks,0.53478145767328744
San Antonio Spurs,Miami Heat,0.52072595168620861
Utah Jazz,Memphis Grizzlies,0.53838672766216433
Cleveland Cavaliers,Toronto Raptors,0.63669590805321008
Los Angeles Lakers,Brooklyn Nets,0.52437244399079774
Atlanta Hawks,Miami Heat,0.53726297630238995
Charlotte Hornets,Minnesota Timberwolves,0.5525171388562633
Portland Trail Blazers,Chicago Bulls,0.60436711625673245
Atlanta Hawks,Milwaukee Bucks,0.57838658219612826
Dallas Mavericks,Boston Celtics,0.51007026555855928
Phoenix Suns,Denver Nuggets,0.50780369528156277
Indiana Pacers,Cleveland Cavaliers,0.54926371566117382
Los Angeles Clippers,Memphis Grizzlies,0.54704310323963901
Detroit Pistons,New York Knicks,0.55619570613420888
Houston Rockets,Oklahoma City Thunder,0.54293659529977967
New Orleans Pelicans,Orlando Magic,0.54008978076563918
Philadelphia 76ers,Washington Wizards,0.52289282312324492
San Antonio Spurs,Sacramento Kings,0.56343193435950911
Golden State Warriors,Toronto Raptors,0.52227608910064216
Houston Rockets,Portland Trail Blazers,0.70429596218044566
Miami Heat,Milwaukee Bucks,0.52525450453318012
Philadelphia 76ers,Minnesota Timberwolves,0.5713432060991317
Utah Jazz,Chicago Bulls,0.56703222298763112
Washington Wizards,New York Knicks,0.51665288885369365
Golden State Warriors,Boston Celtics,0.5764826511233192
Charlotte Hornets,Atlanta Hawks,0.54763796442239165
Cleveland Cavaliers,Detroit Pistons,0.59515386479560639
Dallas Mavericks,Memphis Grizzlies,0.55906161397946252
Denver Nuggets,Toronto Raptors,0.51654876126608384
Indiana Pacers,Phoenix Suns,0.50995997746436117
Los Angeles Lakers,San Antonio Spurs,0.51578933527283111
New Orleans Pelicans,Portland Trail Blazers,0.64567170548740138
Brooklyn Nets,Oklahoma City Thunder,0.52117914783453378
Los Angeles Clippers,Sacramento Kings,0.58658140013211946
Boston Celtics,Detroit Pistons,0.50833574108614443
Houston Rockets,Utah Jazz,0.57067360874165329
Los Angeles Clippers,Chicago Bulls,0.57557489386551297
Memphis Grizzlies,Minnesota Timberwolves,0.53481331042940305
Golden State Warriors,Milwaukee Bucks,0.61231077960707192
Charlotte Hornets,New Orleans Pelicans,0.53025554195178004
Dallas Mavericks,Orlando Magic,0.53193505359272741
Philadelphia 76ers,Phoenix Suns,0.51091287441051536
Washington Wizards,Miami Heat,0.56692152938975449
Brooklyn Nets,Portland Trail Blazers,0.57702238147534946
Denver Nuggets,Utah Jazz,0.51049376696102766
Los Angeles Lakers,Chicago Bulls,0.54156663625379986
Atlanta Hawks,New York Knicks,0.56441242633788291
Indiana Pacers,Oklahoma City Thunder,0.52241407872593659
Toronto Raptors,Sacramento Kings,0.54449983709057481
Charlotte Hornets,Memphis Grizzlies,0.57716898739089328
Houston Rockets,Detroit Pistons,0.50085118653656147
Golden State Warriors,Indiana Pacers,0.5548128163316709
Los Angeles Clippers,Toronto Raptors,0.56900473188231715
Orlando Magic,Milwaukee Bucks,0.54170627503293234
Boston Celtics,Minnesota Timberwolves,0.55186196056001224
Philadelphia 76ers,Miami Heat,0.56924111924839671
Dallas Mavericks,San Antonio Spurs,0.53595352049056966
Washington Wizards,Phoenix Suns,0.50855036139619136
Atlanta Hawks,New Orleans Pelicans,0.53809342486436929
Denver Nuggets,Chicago Bulls,0.52324857086892751
Los Angeles Lakers,Oklahoma City Thunder,0.53288274543523728
New York Knicks,Portland Trail Blazers,0.62457299216211815
Boston Celtics,Brooklyn Nets,0.60061449105710485
Charlotte Hornets,San Antonio Spurs,0.58019960353041578
Cleveland Cavaliers,Portland Trail Blazers,0.75399865126022292
Dallas Mavericks,Los Angeles Clippers,0.53868162776486095
Detroit Pistons,Miami Heat,0.56559497882206489
Golden State Warriors,Los Angeles Lakers,0.56573006910868862
Houston Rockets,Toronto Raptors,0.57660160086888212
Atlanta Hawks,Indiana Pacers,0.51794483415036052
New Orleans Pelicans,Minnesota Timberwolves,0.54521123412465156
Phoenix Suns,Orlando Magic,0.53394705934335318
Philadelphia 76ers,Memphis Grizzlies,0.5130055577903293
Oklahoma City Thunder,Sacramento Kings,0.54650506653717956
Utah Jazz,Denver Nuggets,0.52217958356158056
San Antonio Spurs,Boston Celtics,0.50689050097576804
Cleveland Cavaliers,Dallas Mavericks,0.61578569637163938
Denver Nuggets,Oklahoma City Thunder,0.51452873882355399
Los Angeles Clippers,Detroit Pistons,0.51128282531800617
Indiana Pacers,Brooklyn Nets,0.52374208497838193
Golden State Warriors,Los Angeles Lakers,0.55418850150440069
Memphis Grizzlies,Miami Heat,0.53416294333331604
Toronto Raptors,Milwaukee Bucks,0.52488398393395064
Charlotte Hornets,New York Knicks,0.55286007810862681
Washington Wizards,Orlando Magic,0.52199093625521942
Philadelphia 76ers,Chicago Bulls,0.54188588807781524
Phoenix Suns,Minnesota Timberwolves,0.56262459736568593
Portland Trail Blazers,New Orleans Pelicans,0.56824877829992149
Houston Rockets,Sacramento Kings,0.57642547685905865
Utah Jazz,Atlanta Hawks,0.50845388467204866
Charlotte Hornets,New York Knicks,0.58302854441488405
Golden State Warriors,Minnesota Timberwolves,0.58487075590937776
Memphis Grizzlies,Miami Heat,0.50732394655336177
Detroit Pistons,Oklahoma City Thunder,0.55435051949488623
Washington Wizards,San Antonio Spurs,0.51374919782443806
Sacramento Kings,Brooklyn Nets,0.57505614711955921
Dallas Mavericks,New Orleans Pelicans,0.55089125261917882
Los Angeles Clippers,Indiana Pacers,0.50852355217833356
Atlanta Hawks,Los Angeles Lakers,0.51731379792796606
Orlando Magic,Milwaukee Bucks,0.50069500287914326
Philadelphia 76ers,Cleveland Cavaliers,0.55020759534630936
Denver Nuggets,Phoenix Suns,0.51064535814564782
Portland Trail Blazers,Houston Rockets,0.56640732533457805
Atlanta Hawks,Golden State Warriors,0.50164135822175959
Charlotte Hornets,Memphis Grizzlies,0.540667843960006
Boston Celtics,Miami Heat,0.52493509799667459
Utah Jazz,Minnesota Timberwolves,0.51820402612266392
Oklahoma City Thunder,New York Knicks,0.5145172628416641
Toronto Raptors,Philadelphia 76ers,0.50738223944985572
Washington Wizards,Sacramento Kings,0.51938290884349214
Los Angeles Clippers,Brooklyn Nets,0.60343995043489695
Charlotte Hornets,Detroit Pistons,0.55588661291535713
Cleveland Cavaliers,Milwaukee Bucks,0.50979967387454028
New Orleans Pelicans,Los Angeles Lakers,0.52572476777449983
Orlando Magic,San Antonio Spurs,0.53053811366666226
Utah Jazz,Houston Rockets,0.52828617682390322
Detroit Pistons,Boston Celtics,0.53162576077058543
Los Angeles Lakers,Chicago Bulls,0.51173672442220219
Dallas Mavericks,San Antonio Spurs,0.56212355175396389
Denver Nuggets,Miami Heat,0.55079414132636817
New York Knicks,Minnesota Timberwolves,0.52837334280468973
Washington Wizards,Oklahoma City Thunder,0.52298005282065974
Atlanta Hawks,Phoenix Suns,0.52436710694922861
Portland Trail Blazers,Indiana Pacers,0.58653558787445337
Toronto Raptors,Memphis Grizzlies,0.54467883363754954
Milwaukee Bucks,Brooklyn Nets,0.55159046118577859
Charlotte Hornets,Dallas Mavericks,0.5770976224376011
Cleveland Cavaliers,Los Angeles Clippers,0.59620391012800455
Golden State Warriors,Houston Rockets,0.51821229557327297
Orlando Magic,Memphis Grizzlies,0.51709108950255667
Utah Jazz,Miami Heat,0.59401088675520897
Atlanta Hawks,Detroit Pistons,0.52474817348552616
Sacramento Kings,Boston Celtics,0.50125097247824435
Cleveland Cavaliers,Chicago Bulls,0.51211395495557799
Houston Rockets,Denver Nuggets,0.51585113499507895
Los Angeles Clippers,New Orleans Pelicans,0.5325323587856764
New York Knicks,Minnesota Timberwolves,0.52255395253284675
Philadelphia 76ers,Orlando Magic,0.51836662953362533
Washington Wizards,San Antonio Spurs,0.5260187044500233
Toronto Raptors,Los Angeles Lakers,0.58180283411911382
Charlotte Hornets,Minnesota Timberwolves,0.63192826757580589
Dallas Mavericks,Chicago Bulls,0.58740734011435281
Golden State Warriors,Phoenix Suns,0.52624832336675142
Memphis Grizzlies,Los Angeles Lakers,0.51527741539134519
Brooklyn Nets,Milwaukee Bucks,0.53540568173140446
Boston Celtics,Philadelphia 76ers,0.50462270617284766
Portland Trail Blazers,Miami Heat,0.63053521585056793
Toronto Raptors,Atlanta Hawks,0.51478628671306048
Utah Jazz,Denver Nuggets,0.52217958356158056
Detroit Pistons,Orlando Magic,0.5146570210379513
Los Angeles Clippers,Indiana Pacers,0.55739602921604692
Sacramento Kings,New York Knicks,0.52599361571412984
New Orleans Pelicans,Oklahoma City Thunder,0.54107437263140978
Atlanta Hawks,Oklahoma City Thunder,0.56628867516043757
Washington Wizards,Brooklyn Nets,0.57392893543941392
Chicago Bulls,Portland Trail Blazers,0.61066818733827477
Dallas Mavericks,Charlotte Hornets,0.54095296007477278
Golden State Warriors,Indiana Pacers,0.53875595368486506
Houston Rockets,Boston Celtics,0.53724380190320387
Los Angeles Lakers,Utah Jazz,0.5288606377388867
San Antonio Spurs,Milwaukee Bucks,0.54394851822279777
Memphis Grizzlies,New Orleans Pelicans,0.51199652315514721
Denver Nuggets,Philadelphia 76ers,0.50325972785354534
Toronto Raptors,Cleveland Cavaliers,0.58143544655942569
Detroit Pistons,Chicago Bulls,0.53819604600321858
Philadelphia 76ers,Memphis Grizzlies,0.55959506515221846
New York Knicks,Miami Heat,0.5013104962850875
San Antonio Spurs,Minnesota Timberwolves,0.53126938137191204
Utah Jazz,Phoenix Suns,0.53630452774716053
Washington Wizards,Orlando Magic,0.51600601354567111
Atlanta Hawks,Miami Heat,0.60168079501368665
Denver Nuggets,Brooklyn Nets,0.59930590727215649
Charlotte Hornets,Detroit Pistons,0.55588661291535713
Dallas Mavericks,Sacramento Kings,0.56766844154719442
Houston Rockets,Los Angeles Lakers,0.59164316068743672
Golden State Warriors,Los Angeles Clippers,0.51989600075004261
Milwaukee Bucks,Portland Trail Blazers,0.61286788328105746
New York Knicks,Cleveland Cavaliers,0.50260424042273866
Boston Celtics,Orlando Magic,0.54937536691761313
Phoenix Suns,Indiana Pacers,0.51608323953459656
San Antonio Spurs,Chicago Bulls,0.54624507562387481
Memphis Grizzlies,Portland Trail Blazers,0.63603733958002306
Philadelphia 76ers,New Orleans Pelicans,0.54925412103598203
Toronto Raptors,Minnesota Timberwolves,0.60073507068442578
Golden State Warriors,Utah Jazz,0.52859551602887467
Denver Nuggets,Washington Wizards,0.50562294969482213
Boston Celtics,Toronto Raptors,0.51226426937347691
Charlotte Hornets,Orlando Magic,0.58239869982077219
Cleveland Cavaliers,Miami Heat,0.66790227516612299
Dallas Mavericks,Indiana Pacers,0.56935608984885777
Los Angeles Lakers,Phoenix Suns,0.51059153229036047
Atlanta Hawks,Milwaukee Bucks,0.57657039089389195
Detroit Pistons,Minnesota Timberwolves,0.55585326994093975
Houston Rockets,Oklahoma City Thunder,0.54293659529977967
New York Knicks,Sacramento Kings,0.56057024738396077
Chicago Bulls,Miami Heat,0.50719470534655853
Cleveland Cavaliers,Charlotte Hornets,0.59840316934372051
Houston Rockets,Dallas Mavericks,0.55465191683227122
Indiana Pacers,Portland Trail Blazers,0.66736322445677199
Los Angeles Clippers,New Orleans Pelicans,0.53883374620388513
Golden State Warriors,Memphis Grizzlies,0.58860785538711013
Denver Nuggets,Orlando Magic,0.54802523514258206
Brooklyn Nets,San Antonio Spurs,0.524218834801081
Utah Jazz,Sacramento Kings,0.54707016675386899
Washington Wizards,Milwaukee Bucks,0.54313804913550057
Philadelphia 76ers,Detroit Pistons,0.5280911191686839
Los Angeles Lakers,New York Knicks,0.5186922569968927
Golden State Warriors,Minnesota Timberwolves,0.6001350842404376
Boston Celtics,Oklahoma City Thunder,0.55035662975204436
New Orleans Pelicans,Phoenix Suns,0.50264921839976806
Dallas Mavericks,Denver Nuggets,0.54296415286091892
Houston Rockets,Brooklyn Nets,0.56625705461709452
Charlotte Hornets,Indiana Pacers,0.50623822193702694
Los Angeles Clippers,Portland Trail Blazers,0.69778940615579566
Miami Heat,Washington Wizards,0.50257585491670864
Los Angeles Lakers,Sacramento Kings,0.52910388039428802
Toronto Raptors,Milwaukee Bucks,0.57678645847936871
Atlanta Hawks,Orlando Magic,0.55161975706429101
Chicago Bulls,Minnesota Timberwolves,0.50784803363162789
Cleveland Cavaliers,Memphis Grizzlies,0.61585487847894249
Golden State Warriors,New Orleans Pelicans,0.57843494526759187
Phoenix Suns,New York Knicks,0.51163317039760869
Portland Trail Blazers,Oklahoma City Thunder,0.59598537093877313
Los Angeles Lakers,Brooklyn Nets,0.54649416940907203
Dallas Mavericks,Detroit Pistons,0.53759801256833983
Houston Rockets,Sacramento Kings,0.56334951254027932
Memphis Grizzlies,Cleveland Cavaliers,0.5149003138840359
Miami Heat,Indiana Pacers,0.50314297913315664
Los Angeles Clippers,Orlando Magic,0.55229311142675253
Philadelphia 76ers,Toronto Raptors,0.53521534247479507
Boston Celtics,San Antonio Spurs,0.55336982206594776
Utah Jazz,Oklahoma City Thunder,0.55843740750818427
Charlotte Hornets,Washington Wizards,0.50764804924428519
Denver Nuggets,Portland Trail Blazers,0.65140501275503215
Golden State Warriors,New York Knicks,0.5343262499106467
Chicago Bulls,Milwaukee Bucks,0.51818599425260192
Indiana Pacers,New Orleans Pelicans,0.50153133019862217
Phoenix Suns,San Antonio Spurs,0.50872799794712042
Charlotte Hornets,Boston Celtics,0.52826209116864131
Milwaukee Bucks,Chicago Bulls,0.51687830954613379
Houston Rockets,New Orleans Pelicans,0.54653860447381486
Sacramento Kings,Memphis Grizzlies,0.51371316810960133
Los Angeles Clippers,Miami Heat,0.52787509456530013
Brooklyn Nets,Orlando Magic,0.52018972302383482
Philadelphia 76ers,Los Angeles Lakers,0.55058120635756458
Toronto Raptors,Atlanta Hawks,0.51478628671306048
Utah Jazz,Dallas Mavericks,0.53831405302498281
Detroit Pistons,Washington Wizards,0.51102264960105659
Atlanta Hawks,Charlotte Hornets,0.52811451703963708
Cleveland Cavaliers,Los Angeles Lakers,0.65089514935186843
Denver Nuggets,New York Knicks,0.50030352643483922
Detroit Pistons,Indiana Pacers,0.51975202300490719
Golden State Warriors,Portland Trail Blazers,0.68168539897007485
Houston Rockets,Minnesota Timberwolves,0.54444620515221098
Phoenix Suns,Oklahoma City Thunder,0.53493347793747059
Dallas Mavericks,Sacramento Kings,0.56766844154719442
Utah Jazz,Memphis Grizzlies,0.50625807614495788
Boston Celtics,Miami Heat,0.52493509799667459
Toronto Raptors,Orlando Magic,0.50963903363052521
Philadelphia 76ers,Brooklyn Nets,0.52469316081320849
